,date,subtotal,tax,total,currency_code,payment.type,bill_to.name,vendor.type,vendor.name,vendor.address
17,2021-12-28 19:23:75,1.16,52.25,1.16,USD,visa,Sally Hughsby,drugstore,CVS Pharmacy,"12940 Saratoga Sunnyvale Rd, Saratoga, CA, 95070, US"
18,2022-10-05 00:00:00,1.8,2.36,1.8,EUR,master_card,Brian Thompson,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
19,2017-12-19 20:52:00,1.8,533.33,1.8,EUR,master_card,Brosina Hoffman,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
20,2017-12-14 16:35:59,1.8,7.75,1.8,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
21,2022-07-01 00:00:00,1.8,2.36,1.8,EUR,master_card,Bruce Degenhardt,mixed clothing,NAUTICA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
22,2011-07-28 11:52:00,1.8,533.33,1.8,EUR,master_card,Bruce Geld,accessories,DELSEY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
23,2022-03-24 00:00:00,1.8,7.75,1.8,EUR,master_card,Bruce Stewart,Catering,LINDT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
24,2022-03-26 15:23:47,1.8,2.36,1.8,EUR,master_card,Cassandra Brandow,"mixed clothing, sportswear, outdoor",JOMA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
25,2022-03-26 15:23:48,1.8,533.33,1.8,EUR,master_card,Catherine Glotzbach,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
26,2022-03-26 15:23:49,1.8,2.36,1.8,EUR,master_card,Catherine Glotzbach,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
27,2022-03-26 15:23:50,1.8,7.75,1.8,EUR,master_card,Catherine Glotzbach,women's clothing,SITA MURT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
28,2022-04-02 00:00:00,1.8,533.33,1.8,EUR,master_card,Catherine Glotzbach,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
29,2022-03-26 15:24:53,1.8,533.33,1.8,EUR,cash,Cyma Kinney,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
30,2017-10-24 00:00:00,1.8,2.36,1.8,EUR,cash,Cyma Kinney,footwear,CONVERSE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
31,2018-01-04 00:17:00,1.8,7.75,1.8,EUR,cash,Cyma Kinney,mixed clothing,DESIGUAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
32,2022-01-27,1.8,2.36,1.8,EUR,visa,Darrin Martin,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
33,2022-04-07 00:00:00,1.8,533.33,1.8,EUR,visa,Darrin Van Huff,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
34,2021-07-22 00:00:00,1.8,7.75,1.8,EUR,visa,Dave Brooks,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
35,2017-10-07 22:25:00,1.8,2.36,1.8,EUR,visa,Erica Bern,footwear,CALLAGHAN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
36,2021-10-03 00:00:00,1.8,533.33,1.8,EUR,visa,Erica Bern,home_goods,LA MALLORQUINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
37,2022-03-26 15:24:108,1.8,7.75,1.8,EUR,visa,Erica Hackney,footwear,MUSTANG,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
38,2022-12-30 00:00:00,1.8,7.75,1.8,EUR,visa,Erica Hernandez,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
39,2009-01-23 10:25:02,1.8,2.36,1.8,EUR,visa,Erica Hernandez,kid's clothing,MAYORAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
40,2021-05-16 00:00:00,1.8,533.33,1.8,EUR,visa,Erica Hernandez,kid's clothing,MAYORAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
41,2022-03-21 13:40:50,1.8,2.36,1.8,EUR,master_card,Fred McMath,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
42,2017-03-09 13:31:00,1.8,533.33,1.8,EUR,master_card,Gary Hansen,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
43,2017-03-18 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
44,2017-04-07 11:36:00,1.8,7.75,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
45,2017-05-31 09:03:00,1.8,533.33,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
46,2017-08-04 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
47,2017-08-18 16:14:11,1.8,533.33,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
48,2022-03-31 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Hwang,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
49,2022-04-01 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary McGarr,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
50,2018-01-11 00:00:05,1.8,533.33,1.8,EUR,master_card,Gary McGarr,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
51,2014-05-29 17:48:00,1.8,2.36,1.8,EUR,master_card,Gary McGarr,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
52,2021-03-20 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,footwear,CROCS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
53,2021-03-21 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
54,2021-03-22 00:00:00,1.8,533.33,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
55,2016-07-28 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
56,2016-09-02 18:21:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,mixed clothing,VOLCOM,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
57,2021-05-30 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Mitchum,mixed clothing,VOLCOM,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
58,2021-05-15 00:00:00,1.8,533.33,1.8,EUR,master_card,Gary Mitchum,footwear,CROCS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
59,2016-10-23 14:20:00,1.8,533.33,1.8,EUR,visa,Janet Molinari,mixed clothing,GANT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
60,2016-11-28 16:37:51,1.8,7.75,1.8,EUR,visa,Ken Black,cosmetic,DRUNI,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
61,2017-01-23 16:51:51,1.8,7.75,1.8,EUR,master_card,Mark Packer,footwear,HISPANITAS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
62,2017-02-28 13:39:00,1.8,533.33,1.8,EUR,master_card,Mark Packer,home_goods,HOME & COOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
63,2017-03-01 20:43:00,1.8,2.36,1.8,EUR,master_card,Mark Packer,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
64,2022-03-21 13:40:29,1.8,7.75,1.8,EUR,master_card,Mark Packer,men's clothing,JACK&JONES,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
65,2020-09-19 00:00:01,1.8,533.33,1.8,EUR,master_card,Mary Zewe,women's clothing,JAVIER SIMORRA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
66,2016-07-03 09:43:00,1.8,7.75,1.8,EUR,visa,Ralph Kennedy,women's clothing,JAVIER SIMORRA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
67,2020-09-19 00:00:49,1.8,2.36,1.8,EUR,visa,Ruben Ausman,women's underwear,TRIUMPH,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
68,2020-09-19 00:00:58,1.8,2.36,1.8,EUR,master_card,Ryan Crowe,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
69,2021-11-28 19:23:50,1.8,7.75,1.8,USD,visa,Ryan Crowe,men's clothing,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US"
70,2014-08-22 11:03:00,1.8,533.33,1.8,USD,visa,Ryan Crowe,men's clothing,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US"
71,2022-03-25 13:12:34,1.8,2.36,1.8,USD,visa,Ryan Crowe,men's clothing,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US"
72,2022-03-25 13:13:11,2.8,534.33,2.8,EUR,visa,Jas O'Carroll,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
73,2022-03-25 13:13:45,3.72,0.26,1.9,EUR,visa,Alan Barnes,sportswear,TIMBERLAND,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
74,2022-03-26 15:23:44,3.72,0.26,1.9,EUR,visa,Alan Barnes,women's clothing,DOUBLE AGENT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
75,2022-03-21 13:40:13,3.72,0.26,1.9,EUR,visa,Alan Barnes,women's clothing,FLORENCIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
76,2022-03-21 13:40:27,3.72,0.26,1.9,EUR,master_card,Brian Thompson,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
77,2022-04-09 00:00:00,3.72,0.26,1.9,EUR,master_card,Bruce Stewart,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
78,2022-03-26 15:23:46,3.72,0.26,1.9,EUR,master_card,Bruce Stewart,Restaurant,GREENVITA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
79,2022-03-26 15:23:38,3.72,0.26,1.9,EUR,master_card,Cassandra Brandow,sportswear,KAPPA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
80,2022-03-26 15:20:08,3.72,0.26,1.9,EUR,cash,Cynthia Arntzen,Restaurant,BURGER KING,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
81,2022-03-26 15:20:38,3.72,0.26,1.9,EUR,visa,Dave Brooks,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
82,2022-03-21 13:40:41,3.72,0.26,1.9,EUR,visa,Erica Bern,footwear,CALLAGHAN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
83,2022-03-26 15:21:14,3.72,0.26,1.9,EUR,visa,Erica Hernandez,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
84,2022-03-21 13:40:19,3.72,0.26,1.9,EUR,master_card,Fred Hopkins,home_goods,LA MALLORQUINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
85,2022-03-21 13:40:21,3.72,0.26,1.9,EUR,master_card,Fred Hopkins,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
86,2022-03-21 13:40:39,3.72,0.26,1.9,EUR,master_card,Gene McClure,Restaurant,BURGER KING,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
87,2022-03-21 13:40:43,3.72,0.26,1.9,EUR,master_card,Gene McClure,accessories,PARFOIS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
88,2022-03-25 03:08:11,3.72,0.26,1.9,EUR,master_card,George Ashbrook,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
89,2022-03-25 03:08:31,3.72,0.26,1.9,EUR,master_card,George Ashbrook,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
90,2022-03-21 13:40:16,3.72,0.26,1.9,EUR,master_card,George Bell,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
91,2022-03-21 13:40:23,3.72,0.26,1.9,EUR,master_card,George Bell,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
92,2022-03-21 13:40:25,3.72,0.26,1.9,EUR,master_card,George Bell,cosmetic,PRIMOR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
93,2022-03-26 15:21:04,3.72,0.26,1.9,EUR,master_card,George Bell,cosmetic,PRIMOR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
94,2022-03-25 03:09:27,3.72,0.26,1.9,EUR,master_card,George Zrebassa,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
95,2022-03-25 03:09:50,3.72,0.26,1.9,EUR,master_card,Giulietta Baptist,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
96,2022-03-25 13:12:13,3.72,0.26,1.9,EUR,master_card,Giulietta Baptist,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
97,2021-10-07 00:00:00,3.72,0.26,1.9,EUR,master_card,Giulietta Weimer,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
98,2021-10-08 00:00:00,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
99,2022-03-21 13:40:35,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
100,2022-03-21 13:40:47,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
101,2022-03-21 13:40:15,3.72,0.26,1.9,EUR,master_card,Grant Thornton,women's clothing,SITA MURT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
102,2022-03-21 13:40:31,3.72,0.26,1.9,EUR,master_card,Grant Thornton,women's clothing,SITA MURT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
103,2022-03-21 13:40:33,3.72,0.26,1.9,EUR,master_card,Grant Thornton,mixed clothing,CITEES,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
104,2022-03-26 15:22:12,3.72,0.26,1.9,EUR,visa,Irene Maddox,footwear,HISPANITAS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
105,2022-03-25 13:13:56,3.72,0.26,1.9,EUR,master_card,Jessica Myrick,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
106,2022-03-26 15:23:40,3.72,0.26,1.9,EUR,visa,Joel Jenkins,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
107,2022-03-26 15:23:42,3.72,0.26,1.9,EUR,visa,Joel Jenkins,sportswear,NIKE FACTORY STORE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
108,2020-09-19 00:00:47,3.72,0.26,1.9,EUR,visa,Linda Cazamias,men's clothing,HARMONT & BLAINE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
109,2020-09-19 00:00:55,3.72,0.26,1.9,EUR,master_card,Maria Bertelson,Catering,LINDT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
110,2020-09-19 00:00:65,3.72,0.26,1.9,EUR,visa,Paul Gonzalez,Catering,LINDT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
111,2021-06-02 00:00:00,3.72,0.26,1.9,EUR,visa,Valerie Mitchum,accessories,LA CASA DE LAS CARCASAS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
112,2022-03-26 15:23:45,3.72,0.26,1.9,EUR,visa,Valerie Mitchum,women's clothing,H&m,Kurfürstendamm 20-24
113,2022-03-21 13:40:28,3.72,0.26,1.9,EUR,visa,Valerie Mitchum,women's clothing,H&m,Kurfürstendamm 20-24
114,2022-03-21 13:40:22,3.72,0.26,1.9,EUR,visa,Valerie Mitchum,women's clothing,H&m,Kurfürstendamm 20-24
115,2022-03-25 03:08:27,3.8,535.33,3.8,EUR,visa,Jason Gross,mixed clothing,GARCIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
116,2022-03-21 13:40:17,4.72,1.26,2.9,EUR,visa,Ivan Gibson,women's clothing,FLORENCIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
117,2022-03-21 13:40:44,5.64,1.1,6.2,EUR,visa,Adam Hart,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
118,2021-11-28 19:23:43,5.64,1.1,6.2,EUR,visa,Alan Dominguez,mixed clothing,NAUTICA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
119,2022-03-21 13:40:32,5.64,1.1,6.2,EUR,master_card,Brian Thompson,footwear,MUSTANG,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
120,2022-03-21 13:40:26,5.64,1.1,6.2,EUR,master_card,Bruce Stewart,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
121,2022-09-15 00:00:00,5.64,1.1,6.2,EUR,master_card,Bruce Stewart,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
122,2022-03-21 13:40:48,5.64,1.1,6.2,USD,visa,CONCHITA,women's underwear,Hondarribia,"San Pedro Kalea 33, 20110 Pasaia, Gipuzkoa, Spain"
123,2022-03-21 13:40:30,5.64,1.1,6.2,EUR,cash,Cynthia Delaney,accessories,SOLOPTICAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
124,2022-03-21 13:40:42,5.64,1.1,6.2,EUR,visa,Dave Poirier,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
125,2022-03-21 13:40:24,5.64,1.1,6.2,EUR,visa,Eric Hoffmann,sportswear,NIKE FACTORY STORE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
126,2022-03-21 13:40:34,5.64,1.1,6.2,EUR,visa,Erica Hernandez,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
127,2022-03-21 13:40:36,5.64,1.1,6.2,EUR,master_card,Greg Maxwell,mixed clothing,BOXEUR DES RUES,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
128,2022-03-21 13:40:40,5.64,1.1,6.2,EUR,master_card,Greg Maxwell,Restaurant,SUSHISOM,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain"
